align_results_201904222126.csvid,nama
294,LAWE KONGKER HILIR
295,PULO GADUNG
296,PASIKH PEKHMATE
297,PASIKH NUNANG
298,DELENG KUKUSEN
300,BUKIT MERDEKA
301,DARUL AMAN
302,LAWE KESUMPAT
303,LAWE TUA GABUNGAN
304,LAWE SIGALA II
305,LAWE SIGALA TIMUR
306,LAWE SIGALA BARAT
307,SUKA DAMAI
308,KUTE TENGAH
309,TANAH BARU
310,KEDATARAN GABUNGAN
311,GABUNGAN PARSAROAN
312,LAWE LONING GABUNGAN
313,LAWE LONING AMAN
314,SUKA MAJU
315,LAWE TUA MAKMUR
316,LAWE TUA PERSATUAN
317,LAWE SERKE
318,LAWE RAKAT
319,SUKA JAYA
320,EMIYA BATU DUA RATUS
321,SEBUNGKE
322,BUKIT SEPAKAT
323,LAWE LONING SEPAKAT
324,LAWE LONING I
325,GAYA JAYA
326,GELAH MUSARA
327,MULIE DAMAI
328,LAWE LONING HAKHAPEN
329,KARYA INDAH
330,KAYU MBELIN
331,LAWE SIGALA BARAT JAYA
332,LAWE PEKHIDINEN
333,KERTIMBANG
334,NDAUH NITENGGO
336,BAMBEL GABUNGAN
337,LAWE HIJO
338,PINDING
339,TERUTUNG MEGARA ASLI
340,BIAK MULI
341,KUTE LANG-LANG
342,PEDESI
343,TERUTUNG PAYUNG HULU
344,TERUTUNG PAYUNG HILIR
345,TUALANG SEMBILAR
346,KUNING I
347,KUNING II
348,CINTA DAMAI
349,LIKAT
350,RIKIT
351,BAMBEL
352,LAWE KIHING
353,TERUTUNG SEPERAI
354,KUTE SERI
355,KUTE ANTARA
356,PULO PERENGGE
357,PULO KEDONDONG
358,PANCAKH IMAN
359,BIAK MULI BAKHU
360,BIAK MULI PANTAI RAJA
361,BIAK MULI SEJAHTERA
362,LEMBAH HAJI
363,TERUTUNG PAYUNG GABUNGAN
364,LAWE HIJO METUAH
365,AMPERA
366,TEMBILAKH BAKHU
367,KUTE LANG LANG BAKHU
370,KOTA KUTACANE
371,PERAPAT HILIR
372,PERAPAT HULU
373,MUARA LAWE BULAN
374,MBARUNG
375,BATU MBULAN ASLI
376,BATU MBULAN I
377,BATU MBULAN II
378,KAMPUNG RAJA
379,PULONAS
380,KAMPUNG MELAYU GABUNGAN
381,TERUTUNG PEDI
382,KUTA RIH
383,GUMPANG JAYA
384,PULO LATONG
385,KUTACANE LAMA
386,BATU MBULAN BARU
387,PULO PEDING
388,MENDABE
389,UJUNG BARAT
390,PERAPAT TITI PANJANG
391,PERAPAT SEPAKAT
392,ALAS MERANCAR
393,BATU MBULAN SEPAKAT
394,PULO SANGGAR
395,KAMPUNG MELAYU I
396,MBARUNG DATUK SAUDANE
398,SALANG ALAS
399,KUTE PASIR
400,PURWODADI
401,KUTE TINGGI
402,KAMPUNG BARU
403,PERANGINAN
404,NATAM
405,KUMBANG JAYA
406,KUMBANG INDAH
407,NATAM BARU
408,DELENG MEGAKHE
409,LAWE BEKUNG
410,LAWE BEKUNG TAMPAHAN
411,BADAR INDAH
412,BATU MBERONG
413,TANAH MERAH
414,TANOH MEGAKHE
415,LAWE SEKEKHAH
417,PARDOMUAN II
418,LAWE DESKY I
419,LAWE DESKY SABAS
420,PARDOMUAN I
421,CINTA DAMAI
422,PARDAMEAN
423,LAWE DESKY TONGAH
424,KUTE BAKTI
425,MUARA SITULEN
426,SEJAHTERA
427,KUTE MAKMUR
428,LAWE MANTIK
429,CINTA MAKMUR
430,MUARA SETIA
431,TANOH ALAS
432,SEJAHTERA BARU
433,LAWE TAWAKH
434,SABILUSSALAM
435,DESKY JAYA
436,PINTU ALAS
439,GULO
440,PULO PIKU
441,TERUTUNG KUTE
442,KUTA UJUNG
443,LAWE SETUL
444,KITE MERANGUN
445,MAMAS
446,TANJUNG LAMA
447,TANJUNG MUDA
448,RAMBUNG TELDAK
449,TANJUNG AMAN
450,SERI MUDA
451,UJUNG BARU
452,KUTE RAMBE
453,MAMAS BARU
454,RAMBUNG JAYA
455,MAKMUR JAYA
456,DARUL MAKMUR
457,TANJUNG MBAKHU
458,PULO GADUNG
459,KOKTHAN JAYA
460,ISTIKAMAH
461,LAWE MAMAS INDAH
462,TANJUNG LEUSER
463,SIMPANG EMPAT TANJUNG
464,LAWE PINIS
465,BUNTUL KENDAWI
466,KUNING ABADI
468,PASIR GALA GABUNGAN
469,PASIR PENJENGAKAN
470,KUTAMBARU
471,LAWE SAGU HULU
472,LAWE SAGU HILIR
473,KUTE BANTIL
474,LAWE KULOK
475,LAWE RUTUNG
476,KAMPUNG NANGKA
477,TENEMBAK JUHAR
478,SIMPANG EMPAT
479,KUTA BULUH BOTONG
480,KUTEMBARU BENCAWAN
481,LAWE KINGE
482,KD. MBELANG MANDIRI
483,MBACANG RACUN
484,TELAGA MEKAR
485,PULONAS BARU
486,KUTA GENTING
487,KUTE PANGGUH
488,LAWE SAGU
489,PEKHAPAT TIMUR
490,BAHAGIA
491,KUTA GALUH ASLI
493,KUTE LENGAT PAGAN
494,KUTE LENGAT SELIAN
495,TUALANG BARU
496,ALUR BULUH
497,MAHA SINGKIL
498,TENEMBAK BINTANG
499,KUTE LINGGA
500,RIKIT BUR
501,KERUKUNAN
502,LAWE DUA GABUNGAN
503,REMA
504,BAMBEL BARU
505,PEJUANG
506,DARUSSALAM
507,AMALIAH
508,SEBUDI JAYA
